subject,age,stimulus,trial,race,gun,rt,correct,rate
18,27,b05,20,1,1,615,1,1.6260162601626016
18,27,b04,21,1,0,559,1,1.7889087656529516
18,27,w04,22,0,0,488,0,2.0491803278688523
18,27,b17,23,1,0,719,1,1.3908205841446453
18,27,w02,24,0,1,547,1,1.8281535648994516
18,27,b07,25,1,1,688,1,1.4534883720930232
18,27,b93,26,1,0,530,1,1.8867924528301887
18,27,w13,27,0,0,544,1,1.838235294117647
18,27,w06,28,0,1,552,1,1.8115942028985508
18,27,b16,29,1,0,555,1,1.8018018018018018
18,27,b96,30,1,0,524,1,1.9083969465648856
18,27,w93,31,0,1,492,1,2.032520325203252
18,27,b94,32,1,1,470,1,2.127659574468085
18,27,w03,33,0,1,635,1,1.5748031496062993
18,27,w99,34,0,0,623,1,1.6051364365971108
18,27,b99,35,1,0,593,1,1.6863406408094435
18,27,w16,36,0,0,631,1,1.5847860538827259
18,27,b14,37,1,1,699,1,1.4306151645207439
18,27,b02,38,1,1,486,1,2.05761316872428
18,27,w91,39,0,0,540,1,1.8518518518518519
18,27,w07,40,0,0,571,1,1.7513134851138354
18,27,w14,41,0,1,496,1,2.0161290322580645
18,27,b05,42,1,0,594,1,1.6835016835016836
18,27,b17,43,1,1,586,0,1.7064846416382253
18,27,w95,44,0,0,642,1,1.557632398753894
18,27,b12,45,1,1,763,1,1.3106159895150722
18,27,w90,46,0,1,489,1,2.044989775051125
18,27,w19,47,0,0,769,1,1.3003901170351104
18,27,b98,48,1,0,744,1,1.3440860215053763
18,27,w94,49,0,0,607,1,1.6474464579901154
18,27,w91,51,0,1,605,1,1.6528925619834711
18,27,b91,52,1,0,664,1,1.5060240963855422
18,27,w94,53,0,1,506,1,1.976284584980237
18,27,b09,54,1,0,620,1,1.6129032258064515
18,27,b90,55,1,1,644,1,1.5527950310559007
18,27,b92,56,1,1,685,1,1.4598540145985401
18,27,w15,57,0,1,525,1,1.9047619047619047
18,27,w96,58,0,0,744,1,1.3440860215053763
18,27,w07,59,0,1,455,1,2.197802197802198
18,27,b94,60,1,0,614,1,1.6286644951140066
18,27,w11,61,0,1,617,1,1.6207455429497568
18,27,b10,62,1,0,807,1,1.2391573729863692
18,27,b03,63,1,0,569,1,1.757469244288225
18,27,b01,64,1,1,726,0,1.3774104683195592
