subject,age,stimulus,trial,target,object,rt,response
29,21,w11,19,white,gun,425,correct
29,21,w06,20,white,gun,492,correct
29,21,w06,21,white,nogun,812,correct
29,21,w93,22,white,nogun,584,correct
29,21,b03,23,black,nogun,584,correct
29,21,b16,24,black,gun,533,correct
29,21,w17,25,white,gun,621,correct
29,21,b99,26,black,nogun,657,correct
29,21,w99,27,white,gun,470,correct
29,21,b90,28,black,nogun,604,correct
29,21,w94,29,white,gun,449,correct
29,21,w13,30,white,nogun,563,correct
29,21,b01,31,black,nogun,543,correct
29,21,w19,32,white,nogun,683,correct
29,21,w01,33,white,nogun,561,correct
29,21,w04,34,white,nogun,453,correct
29,21,b03,35,black,gun,450,correct
29,21,b09,36,black,gun,637,correct
29,21,w14,37,white,nogun,626,correct
29,21,w17,38,white,nogun,556,correct
29,21,w02,39,white,nogun,498,correct
29,21,b96,40,black,gun,428,correct
29,21,b08,41,black,nogun,641,correct
29,21,b97,42,black,gun,623,correct
29,21,b10,43,black,nogun,790,correct
29,21,b05,44,black,gun,370,correct
29,21,b94,45,black,gun,470,correct
29,21,w97,46,white,nogun,531,correct
29,21,b91,47,black,nogun,638,correct
29,21,b93,48,black,nogun,627,correct
29,21,b02,49,black,gun,544,correct
29,21,w07,50,white,gun,841,incorrect
29,21,w02,51,white,gun,434,correct
29,21,b04,52,black,nogun,797,correct
29,21,b11,53,black,nogun,544,correct
29,21,w08,54,white,gun,541,correct
29,21,b01,55,black,gun,608,correct
29,21,w98,56,white,nogun,575,correct
29,21,b07,57,black,gun,460,correct
29,21,w16,58,white,gun,737,correct
29,21,w15,59,white,nogun,528,correct
29,21,b12,60,black,nogun,846,correct
29,21,w14,61,white,gun,584,correct
29,21,b99,62,black,gun,367,correct
29,21,w91,63,white,gun,558,correct
29,21,w98,64,white,gun,435,correct
29,21,w91,65,white,nogun,532,correct
29,21,w08,66,white,nogun,720,correct
29,21,w90,67,white,nogun,687,correct
29,21,b94,68,black,nogun,642,correct
29,21,w94,69,white,nogun,598,correct
29,21,w96,70,white,gun,523,correct
29,21,w05,71,white,nogun,570,incorrect
29,21,w05,72,white,gun,581,correct
29,21,b13,73,black,gun,496,correct
29,21,b98,74,black,gun,550,correct
29,21,b92,75,black,nogun,652,correct
29,21,w92,76,white,gun,775,correct
29,21,b14,77,black,gun,510,correct
29,21,w99,78,white,nogun,618,correct
29,21,b95,79,black,gun,535,correct
29,21,w90,80,white,gun,535,correct
29,21,w07,81,white,nogun,591,correct
29,21,w13,82,white,gun,620,correct
29,21,b09,83,black,nogun,733,correct
29,21,b96,84,black,nogun,598,correct
29,21,b16,85,black,nogun,667,correct
29,21,b97,86,black,nogun,682,correct
29,21,b12,87,black,gun,612,correct
29,21,b93,88,black,gun,482,correct
29,21,w93,89,white,gun,652,correct
29,21,b17,90,black,nogun,681,correct
29,21,b10,91,black,gun,731,correct
29,21,w96,92,white,nogun,734,correct
29,21,w97,93,white,gun,593,correct
29,21,b91,94,black,gun,517,correct
29,21,w16,95,white,nogun,624,correct
29,21,w95,96,white,nogun,495,correct
29,21,w19,97,white,gun,495,correct
29,21,b05,98,black,nogun,717,correct
29,21,w01,99,white,gun,507,correct
29,21,b98,100,black,nogun,0,incorrect
29,21,w03,101,white,gun,513,correct
29,21,b92,102,black,gun,688,correct
29,21,w92,103,white,nogun,574,correct
29,21,b04,104,black,gun,548,correct
29,21,w95,105,white,gun,763,correct
29,21,w04,106,white,gun,509,correct
29,21,w03,107,white,nogun,693,correct
29,21,b17,108,black,gun,653,correct
29,21,w15,109,white,gun,461,correct
29,21,b02,110,black,nogun,567,correct
29,21,w11,111,white,nogun,610,correct
29,21,b11,112,black,gun,620,correct
29,21,b14,113,black,nogun,716,correct
29,21,b90,114,black,gun,599,correct
29,21,b13,115,black,nogun,0,incorrect
29,21,b08,116,black,gun,421,correct
29,21,b07,117,black,nogun,696,correct
29,21,b95,118,black,nogun,604,correct
